Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
95	:	1625178472.877	    51.457	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 14
221	:	1625178519.078	     5.710	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 5
229	:	1625178521.737	     3.253	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 13
212	:	1625178515.963	     9.520	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 23
231	:	1625178522.387	     3.253	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 15
224	:	1625178519.944	     6.223	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 8
233	:	1625178523.040	     3.253	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 17
234	:	1625178523.402	     3.453	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 18
141	:	1625178488.226	    38.711	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 6
125	:	1625178482.836	    46.120	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 17
190	:	1625178508.377	    20.611	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 1
220	:	1625178518.590	    12.864	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 4
200	:	1625178511.791	    19.693	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 11
223	:	1625178519.738	    14.228	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 7
213	:	1625178516.429	    17.558	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 24
225	:	1625178520.395	    16.069	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 9
176	:	1625178503.816	    32.684	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 14
90	:	1625178470.935	    66.182	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 9
168	:	1625178501.077	    36.104	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 6
217	:	1625178517.740	    20.038	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 1
144	:	1625178489.339	    48.532	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 9
246	:	1625178528.960	     9.578	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 2 3
214	:	1625178516.627	    21.934	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 25
248	:	1625178531.458	     7.733	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 2 5
206	:	1625178513.795	    25.448	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 17
235	:	1625178523.686	    16.164	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 19
252	:	1625178536.467	     3.477	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 2 9
244	:	1625178526.859	    13.641	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 2 1
236	:	1625178524.105	    16.533	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 20
